"Species","Species_Label","Node","Reach","Critial_XS_Position","Seasonal.Component","Current_Suitability","Lower_Limit","Upper_Limit","Probability_Threshold","Designation","Duration_Days","Timing_Start_WYDay","Timing_End_WYDay","metric","notes"
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","F57C","LAR 5 - Glendale Narrows","Main Channel","Summer Baseflow","suitable","26","",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","F57C","LAR 5 - Glendale Narrows","Main Channel","Winter Baseflow","suitable","26","",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","F34D","LAR 4 - Above Rio Hondo","Main Channel","Summer Baseflow","suitable","60","9839",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","F34D","LAR 4 - Above Rio Hondo","Main Channel","Winter Baseflow","suitable","60","9839",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","F34D","LAR 4 - Above Rio Hondo","Main Channel","Summer Baseflow","suitable","60","",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","F34D","LAR 4 - Above Rio Hondo","Main Channel","Winter Baseflow","suitable","60","",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","F319","LAR 2 - Below Compton Creek","Main Channel","Summer Baseflow","suitable","63","24042",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","F319","LAR 2 - Below Compton Creek","Main Channel","Winter Baseflow","suitable","63","24042",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","F319","LAR 2 - Below Compton Creek","Main Channel","Summer Baseflow","suitable","63","",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","F319","LAR 2 - Below Compton Creek","Main Channel","Winter Baseflow","suitable","63","",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","LA3","LAR 3 - Below Rio Hondo","Main Channel","Summer Baseflow","suitable","62","13951",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","LA3","LAR 3 - Below Rio Hondo","Main Channel","Winter Baseflow","suitable","62","13951",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","LA3","LAR 3 - Below Rio Hondo","Main Channel","Summer Baseflow","suitable","62","",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","LA3","LAR 3 - Below Rio Hondo","Main Channel","Winter Baseflow","suitable","62","",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","LA20","LAR 10 - Upstream Reach","Main Channel","Summer Baseflow","unsuitable","10","16913",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","LA20","LAR 10 - Upstream Reach","Main Channel","Winter Baseflow","suitable","10","16913",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","LA20","LAR 10 - Upstream Reach","Main Channel","Summer Baseflow","unsuitable","6","",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","LA20","LAR 10 - Upstream Reach","Main Channel","Winter Baseflow","suitable","6","",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","LA2","LAR 1 - Tidal Reach","Main Channel","Summer Baseflow","TBD","TBD","",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","LA1","LAR 1 - Tidal Reach","Main Channel","Summer Baseflow","TBD","TBD","",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","LA2","LAR 1 - Tidal Reach","Main Channel","Winter Baseflow","TBD","TBD","",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","LA1","LAR 1 - Tidal Reach","Main Channel","Winter Baseflow","TBD","TBD","",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","LA2","LAR 1 - Tidal Reach","Main Channel","Summer Baseflow","TBD","TBD","",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","LA1","LAR 1 - Tidal Reach","Main Channel","Summer Baseflow","TBD","TBD","",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","LA2","LAR 1 - Tidal Reach","Main Channel","Winter Baseflow","TBD","TBD","",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","LA1","LAR 1 - Tidal Reach","Main Channel","Winter Baseflow","TBD","TBD","",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Rec. Use - Kayak","Rec. Use Kayak","LA20_2","LAR 10 - Upstream Reach","Main Channel","Summer Baseflow",NA,NA,NA,NA,NA,-91,183,92,NA,NA
"Rec. Use - Fishing","Rec. Use Fishing","LA20_2","LAR 10 - Upstream Reach","Main Channel","Summer Baseflow",NA,NA,NA,NA,NA,-91,183,92,NA,NA
"Rec. Use - Kayak","Rec. Use Kayak","LA14","LAR 7 - Below Burbank","Main Channel","Summer Baseflow",NA,"116.214922060748","300.514702963308",NA,NA,-91,183,92,NA,NA
"Rec. Use - Fishing","Rec. Use Fishing","LA14","LAR 7 - Below Burbank","Main Channel","Summer Baseflow",NA,"134.268237632301","531.472298590283",NA,NA,-91,183,92,NA,NA
"Rec. Use - Kayak","Rec. Use Kayak","GLEN","LAR 5 - Glendale Narrows","Main Channel","Summer Baseflow",NA,"64.9292773053923","252.862910691863",NA,NA,-91,183,92,NA,NA
"Rec. Use - Fishing","Rec. Use Fishing","GLEN","LAR 5 - Glendale Narrows","Main Channel","Summer Baseflow",NA,"96.020363841381","446.541959647273",NA,NA,-91,183,92,NA,NA
"Rec. Use - Kayak","Rec. Use Kayak","LA11","LAR 5 - Glendale Narrows","Main Channel","Summer Baseflow",NA,"87.1989721932357","231.203240920712",NA,NA,-91,183,92,NA,NA
"Rec. Use - Fishing","Rec. Use Fishing","LA11","LAR 5 - Glendale Narrows","Main Channel","Summer Baseflow",NA,"101.053023650174","418.112166499554",NA,NA,-91,183,92,NA,NA
"Rec. Use - Kayak","Rec. Use Kayak","F57C","LAR 5 - Glendale Narrows","Main Channel","Summer Baseflow",NA,"26.6200191373577","116.959543612346",NA,NA,-91,183,92,NA,NA
"Rec. Use - Fishing","Rec. Use Fishing","F57C","LAR 5 - Glendale Narrows","Main Channel","Summer Baseflow",NA,"33.3523844392594","283.477019271149",NA,NA,-91,183,92,NA,NA
